"","V1","V2"
"458","071-754-400-609-576","1"
"459","071-766-956-113-03X","1"
"460","072-009-117-052-692","1"
"461","072-023-336-426-165","2"
"462","072-068-089-948-511","1"
"463","072-076-456-769-698","3"
"464","072-112-091-638-200","2"
"465","072-224-176-896-782","1"
"466","072-243-200-215-136","3"
"467","072-291-495-928-489","2"
"468","072-296-667-465-701","2"
"469","072-374-841-819-407","3"
"470","072-441-462-797-567","1"
"471","072-698-497-216-295","1"
"472","072-745-845-642-67X","1"
"473","072-802-531-827-848","3"
"474","072-817-046-222-302","3"
"475","073-087-462-304-838","1"
"476","073-094-003-713-013","1"
"477","073-170-131-117-322","1"
"478","074-132-780-202-542","4"
"479","074-156-419-052-56X","2"
"480","074-197-517-203-385","1"
"481","074-806-303-734-480","2"
"482","074-841-397-595-509","2"
"483","074-902-318-460-582","4"
"484","075-667-485-324-237","2"
"485","075-850-280-803-221","2"
"486","076-002-662-697-123","3"
"487","076-238-701-408-058","1"
"488","076-255-809-177-452","2"
"489","076-377-649-956-283","2"
"490","076-551-861-300-215","2"
"491","076-655-177-369-941","3"
"492","076-729-975-056-738","3"
"493","076-992-646-369-715","1"
"494","077-354-829-416-449","2"
"495","077-608-833-486-121","1"
"496","077-834-219-997-306","1"
"497","077-977-837-585-833","2"
"498","077-999-868-444-539","3"
"499","078-036-240-424-326","2"
"500","078-152-162-481-023","4"
"501","078-175-531-431-526","2"
"502","078-272-079-532-367","3"
"503","078-318-665-214-047","1"
"504","078-686-633-904-421","3"
"505","078-720-513-189-167","3"
"506","078-927-735-353-813","2"
"507","079-251-925-726-464","1"
"508","079-562-504-772-874","2"
"509","080-086-175-670-914","1"
"510","080-139-567-968-521","3"
"511","080-215-147-088-095","2"
"512","080-615-210-297-301","1"
"513","080-618-639-966-540","1"
"514","080-812-176-152-098","2"
"515","081-068-405-899-608","1"
"516","081-198-292-463-95X","1"
"517","081-296-681-189-981","1"
"518","081-346-750-789-589","3"
"519","081-513-017-845-053","2"
"520","081-820-338-234-026","3"
"521","081-876-742-456-651","3"
"522","082-042-151-776-261","1"
"523","082-091-227-062-603","3"
"524","082-117-114-903-173","3"
"525","082-389-624-773-160","1"
"526","082-502-832-432-143","2"
"527","082-858-046-996-889","3"
"528","083-412-860-749-866","1"
"529","083-431-696-176-966","2"
"530","083-528-691-484-522","2"
"531","083-651-591-906-015","2"
"532","083-692-916-137-156","2"
"533","083-810-224-480-214","1"
"534","084-160-886-686-283","3"
"535","084-855-406-110-025","1"
"536","085-627-940-653-689","2"
"537","085-637-817-002-089","1"
"538","085-668-122-415-751","1"
"539","085-961-686-904-115","3"
"540","085-963-779-348-786","2"
"541","086-063-765-305-77X","1"
"542","086-377-939-570-007","1"
"543","087-286-707-662-159","3"
"544","087-588-810-431-870","1"
"545","087-928-364-175-683","1"
"546","088-017-310-971-747","2"
"547","088-594-206-083-168","1"
"548","088-898-421-491-458","1"
"549","088-914-345-904-325","3"
"550","089-112-468-945-778","3"
"551","089-483-582-783-963","1"
"552","090-332-036-959-594","3"
"553","090-581-029-835-945","2"
"554","090-787-055-972-525","1"
"555","091-241-664-950-446","2"
"556","091-265-753-392-171","3"
"557","091-415-969-356-605","1"
"558","091-494-753-015-391","4"
"559","091-528-588-052-502","3"
"560","092-043-883-876-185","1"
"561","092-099-830-449-027","2"
"562","092-517-536-020-368","1"
"563","092-525-270-344-68X","2"
"564","092-898-812-757-895","3"
"565","093-299-471-148-654","2"
"566","093-517-933-508-881","2"
"567","093-526-464-667-904","3"
"568","093-807-963-624-926","2"
"569","093-860-530-810-902","2"
"570","094-060-953-943-724","1"
"571","094-416-845-662-41X","1"
"572","094-645-205-628-669","3"
"573","095-156-275-712-769","2"
"574","095-312-534-361-222","2"
"575","095-548-579-063-991","2"
"576","095-605-473-408-283","1"
"577","095-877-317-702-391","3"
"578","096-113-874-823-168","3"
"579","096-156-117-631-329","2"
"580","096-184-264-826-781","1"
"581","096-197-889-670-548","4"
"582","096-497-658-401-644","3"
"583","096-775-470-267-946","1"
"584","097-095-789-567-42X","3"
"585","097-691-909-747-128","1"
"586","097-935-960-014-905","1"
"587","097-986-438-425-365","2"
"588","098-063-655-815-248","2"
"589","098-805-113-361-261","1"
"590","099-315-116-844-677","1"
"591","099-545-086-180-93X","3"
"592","099-584-998-034-531","2"
"593","099-596-172-337-331","2"
"594","099-857-638-754-94X","2"
"595","099-921-237-201-045","1"
"596","100-381-410-629-790","4"
"597","100-965-732-025-198","2"
"598","101-150-316-380-050","1"
"599","101-256-219-333-506","3"
"600","101-679-988-502-372","3"
"601","101-774-056-400-814","2"
"602","101-888-749-870-953","2"
"603","102-215-497-936-230","2"
"604","102-299-231-485-20X","2"
"605","102-380-910-691-361","3"
"606","102-590-921-559-273","1"
"607","102-684-065-194-095","1"
"608","102-805-782-762-647","2"
"609","103-286-115-762-912","2"
"610","103-678-114-900-300","1"
"611","104-109-870-855-476","1"
"612","104-810-886-064-658","1"
"613","106-064-719-158-957","3"
"614","106-284-569-265-355","2"
"615","106-414-491-069-620","2"
"616","107-188-835-457-613","1"
"617","107-390-616-512-079","2"
"618","107-419-964-775-170","2"
"619","108-007-092-968-56X","1"
"620","108-466-831-346-004","2"
"621","108-632-928-694-196","1"
"622","108-743-392-147-523","2"
"623","108-838-812-821-062","1"
"624","109-407-548-674-770","3"
"625","109-621-473-204-594","2"
"626","109-858-282-831-697","2"
"627","109-953-506-304-374","2"
"628","110-122-053-042-006","1"
"629","110-419-567-105-817","2"
"630","110-456-431-007-145","2"
"631","110-480-586-717-651","2"
"632","110-684-291-574-379","3"
"633","110-766-047-364-379","1"
"634","111-202-586-335-22X","2"
"635","111-240-676-326-172","3"
"636","111-288-588-656-115","2"
"637","111-298-852-298-484","1"
"638","111-370-959-189-230","1"
"639","111-462-313-158-345","2"
"640","111-528-391-156-029","3"
"641","111-596-480-904-29X","3"
"642","112-134-310-761-353","2"
"643","112-148-110-351-322","3"
"644","112-318-381-656-944","2"
"645","112-677-589-335-546","3"
"646","113-057-949-435-76X","2"
"647","113-092-517-841-944","1"
"648","113-225-847-396-026","3"
"649","113-365-099-387-283","3"
"650","113-790-282-907-897","3"
"651","114-480-653-531-829","1"
"652","114-537-516-364-782","1"
"653","114-583-662-648-553","1"
"654","114-634-177-859-258","2"
"655","114-772-538-209-249","1"
"656","115-123-313-615-824","1"
"657","115-634-765-197-007","1"
"658","116-145-842-005-662","1"
"659","116-384-645-347-944","3"
"660","116-686-021-356-360","2"
"661","117-074-543-175-080","2"
"662","117-119-858-150-626","1"
"663","117-168-591-103-863","1"
"664","117-295-274-138-001","3"
"665","117-346-312-542-660","2"
"666","117-346-746-995-202","1"
"667","118-271-355-706-365","3"
"668","118-802-906-666-129","2"
"669","118-968-501-495-114","3"
"670","119-209-557-350-650","1"
"671","119-352-383-206-342","1"
"672","120-256-806-131-465","1"
"673","120-415-215-905-081","2"
"674","120-461-617-171-612","2"
"675","120-888-002-829-986","2"
"676","121-065-354-641-96X","2"
"677","121-964-750-724-694","2"
"678","122-193-974-026-944","2"
"679","122-352-307-884-641","1"
"680","123-531-564-917-678","1"
"681","123-653-571-393-994","3"
"682","124-323-481-059-161","1"
"683","124-511-231-990-584","3"
"684","124-683-928-410-819","2"
"685","125-928-291-864-993","2"
"686","126-185-854-218-293","3"
"687","126-422-348-422-052","1"
"688","126-567-876-134-094","3"
"689","126-684-590-662-783","1"
"690","126-789-023-163-372","1"
"691","126-939-277-464-686","3"
"692","127-029-369-930-692","1"
"693","127-087-902-208-709","2"
"694","127-747-168-852-33X","3"
"695","128-130-250-855-94X","1"
"696","128-195-997-346-382","2"
"697","128-222-836-109-002","1"
"698","128-569-652-424-254","1"
"699","129-271-467-499-857","2"
"700","130-012-333-732-368","3"
"701","130-190-390-087-555","3"
"702","130-940-780-158-38X","2"
"703","131-060-331-668-772","1"
"704","132-023-219-315-516","2"
"705","132-380-117-709-640","1"
"706","132-500-714-910-311","1"
"707","132-653-145-372-847","1"
"708","132-898-566-034-905","1"
"709","133-025-020-758-454","1"
"710","133-071-632-276-656","2"
"711","133-129-238-971-043","3"
"712","133-144-836-475-512","3"
"713","133-199-519-838-349","1"
"714","133-215-158-664-466","3"
"715","133-226-105-390-194","1"
"716","133-252-955-828-163","3"
"717","133-817-779-828-150","2"
"718","134-388-309-968-363","2"
"719","134-797-888-874-528","3"
"720","135-233-059-071-616","1"
"721","135-649-556-815-160","1"
"722","135-879-091-021-910","2"
"723","135-883-559-011-411","1"
"724","136-078-117-326-445","2"
"725","137-972-679-760-190","1"
"726","138-775-105-233-520","2"
"727","139-650-568-208-695","3"
"728","139-786-158-737-829","1"
"729","140-027-482-120-642","1"
"730","140-815-034-308-497","3"
"731","141-452-852-502-431","3"
"732","141-759-936-693-745","3"
"733","144-256-716-712-726","1"
"734","144-608-109-036-89X","2"
"735","144-639-707-343-162","2"
"736","145-176-906-866-327","1"
"737","145-653-851-729-665","3"
"738","146-092-364-101-538","2"
"739","146-382-118-408-345","1"
"740","146-403-246-969-235","2"
"741","146-411-085-161-883","2"
"742","146-870-336-705-658","2"
"743","147-490-702-686-71X","1"
"744","147-602-317-956-860","2"
"745","148-789-623-443-683","3"
"746","149-413-492-041-721","2"
"747","149-431-649-896-445","3"
"748","149-576-635-066-202","3"
"749","149-751-397-612-305","1"
"750","149-960-450-431-003","2"
"751","150-083-888-912-972","1"
"752","150-539-908-471-485","2"
"753","150-615-763-454-941","3"
"754","151-839-862-865-403","3"
"755","154-215-584-559-505","1"
"756","154-386-144-197-99X","1"
"757","154-463-104-430-570","1"
"758","154-473-168-035-456","1"
"759","154-553-627-627-857","1"
"760","155-170-578-897-225","2"
"761","155-691-175-864-748","1"
"762","156-207-702-434-918","1"
"763","156-373-737-843-301","1"
"764","156-847-749-684-354","3"
"765","156-937-351-256-543","1"
"766","157-985-540-191-681","2"
"767","158-040-572-868-750","2"
"768","158-291-537-040-153","3"
"769","158-767-540-849-130","3"
"770","159-938-497-832-818","1"
"771","160-615-618-554-973","1"
"772","160-938-263-590-276","1"
"773","161-115-617-014-882","2"
"774","161-425-757-559-60X","1"
"775","161-671-403-526-169","2"
"776","161-712-152-756-135","3"
"777","163-791-444-765-886","1"
"778","164-350-768-837-199","2"
"779","164-686-630-818-824","1"
"780","164-717-272-216-530","1"
"781","164-778-477-702-099","2"
"782","165-153-751-380-229","2"
"783","166-152-846-701-103","3"
"784","166-648-088-163-172","2"
"785","168-854-916-636-861","2"
"786","169-707-009-361-549","1"
"787","170-219-117-295-676","1"
"788","170-939-487-720-479","2"
"789","171-352-683-438-394","3"
"790","171-625-550-339-318","2"
"791","173-470-822-613-835","3"
"792","173-725-585-059-659","1"
"793","173-731-784-504-55X","3"
"794","174-123-111-681-073","1"
"795","174-841-365-777-135","2"
"796","177-223-877-096-350","2"
"797","178-269-210-302-70X","1"
"798","179-268-492-785-894","1"
"799","180-524-585-737-168","2"
"800","181-000-667-326-695","2"
"801","182-906-730-748-020","2"
"802","187-603-367-498-373","1"
"803","187-902-910-915-854","1"
"804","188-998-883-918-915","3"
"805","190-859-942-736-911","3"
"806","191-484-582-462-838","3"
"807","193-598-530-261-354","1"
"808","150-041-085-682-063","1"
"809","168-193-278-954-64X","1"
"810","188-482-898-782-603","1"
"811","141-101-347-131-583","2"
"812","186-231-509-533-744","2"
"813","126-035-649-918-481","2"
"814","171-878-434-704-088","2"
"815","175-196-769-643-19X","2"
"816","195-845-264-042-244","1"
"817","191-616-650-541-67X","3"
"818","144-455-119-852-490","1"
"819","197-430-645-554-460","2"
"820","192-182-455-331-555","3"
"821","193-154-897-835-230","3"
"822","114-798-386-232-524","2"
"823","176-741-497-170-524","1"
"824","109-540-421-147-650","4"
"825","147-078-669-141-309","4"
"826","175-269-408-344-172","2"
"827","161-300-804-429-199","1"
"828","168-748-487-089-679","2"
"829","177-948-931-910-607","3"
"830","184-052-512-428-666","3"
"831","126-952-687-817-313","1"
"832","130-240-863-118-482","2"
"833","091-975-063-830-994","3"
"834","151-592-750-548-68X","2"
"835","151-452-685-417-266","2"
"836","110-617-981-290-509","2"
"837","166-977-968-948-119","3"
"838","166-297-752-075-110","2"
"839","109-635-255-168-553","4"
