"","V1","V2"
"340","052-320-986-023-291","2"
"341","052-494-986-045-941","1"
"342","052-589-530-283-548","2"
"343","052-683-738-705-384","3"
"344","052-704-024-326-104","1"
"345","053-056-666-649-486","1"
"346","053-067-368-571-602","2"
"347","053-181-881-442-026","2"
"348","053-451-836-636-97X","2"
"349","053-514-836-557-388","2"
"350","053-643-073-503-138","1"
"351","053-830-117-088-153","1"
"352","054-064-795-729-462","3"
"353","054-142-450-794-649","2"
"354","054-203-730-486-954","3"
"355","054-584-213-286-331","2"
"356","054-712-405-549-785","3"
"357","055-054-076-410-76X","3"
"358","055-083-398-263-398","4"
"359","055-192-571-710-917","2"
"360","055-290-465-789-317","2"
"361","055-946-607-021-418","3"
"362","056-244-188-471-763","3"
"363","056-419-455-186-425","2"
"364","056-448-774-024-709","2"
"365","056-572-672-082-930","2"
"366","056-585-869-238-25X","4"
"367","056-853-001-254-085","1"
"368","056-853-622-256-040","1"
"369","057-131-240-501-938","2"
"370","057-191-112-701-980","2"
"371","058-402-866-495-275","1"
"372","058-706-321-707-453","2"
"373","058-724-460-245-008","3"
"374","058-743-931-737-265","4"
"375","059-119-578-539-15X","3"
"376","059-361-082-177-816","4"
"377","059-472-939-527-494","2"
"378","059-502-071-789-055","3"
"379","059-614-004-166-874","3"
"380","059-627-658-158-630","3"
"381","059-659-793-850-220","3"
"382","059-697-593-739-189","2"
"383","059-726-400-628-520","2"
"384","059-851-177-532-034","1"
"385","059-886-928-764-718","2"
"386","060-303-879-790-212","3"
"387","061-250-585-006-488","1"
"388","061-255-779-212-020","4"
"389","061-472-431-665-855","3"
"390","061-505-739-300-041","3"
"391","061-626-168-406-432","3"
"392","061-714-212-871-260","4"
"393","062-036-445-726-722","4"
"394","062-420-815-021-292","1"
"395","062-427-769-001-566","2"
"396","062-596-523-853-58X","3"
"397","062-652-638-839-909","2"
"398","062-925-650-162-284","2"
"399","063-149-977-873-288","3"
"400","063-662-089-786-933","3"
"401","064-251-428-456-286","1"
"402","064-261-486-295-168","2"
"403","064-285-198-867-260","3"
"404","064-297-474-959-451","3"
"405","064-675-123-853-466","2"
"406","064-876-657-317-407","2"
"407","064-893-774-544-494","4"
"408","065-544-803-132-001","4"
"409","065-717-158-017-31X","4"
"410","065-870-472-856-614","4"
"411","065-978-375-523-601","3"
"412","066-173-478-189-114","1"
"413","066-183-744-567-499","2"
"414","066-473-532-412-933","2"
"415","066-531-345-535-56X","2"
"416","066-675-844-981-559","3"
"417","066-727-776-146-130","2"
"418","066-882-160-758-008","3"
"419","067-011-083-064-581","2"
"420","067-070-378-841-691","1"
"421","067-221-882-826-226","2"
"422","067-656-049-341-942","2"
"423","067-727-839-082-24X","2"
"424","067-987-736-159-516","2"
"425","068-177-504-053-714","4"
"426","068-247-366-212-73X","2"
"427","068-442-297-719-812","2"
"428","068-567-084-277-634","1"
"429","068-617-156-096-270","1"
"430","068-669-359-350-27X","1"
"431","069-171-421-651-689","1"
"432","069-886-182-022-795","2"
"433","069-901-245-663-534","4"
"434","069-927-181-609-293","2"
"435","070-043-160-900-85X","3"
"436","070-127-552-184-475","2"
"437","070-129-859-863-682","2"
"438","070-204-847-316-814","2"
"439","070-239-213-610-528","3"
"440","070-553-270-107-879","3"
"441","070-767-640-313-826","3"
"442","070-816-613-195-842","2"
"443","070-830-030-975-776","4"
"444","071-167-876-727-598","2"
"445","071-190-552-848-022","2"
"446","071-511-859-224-147","2"
"447","071-601-864-758-089","1"
"448","071-736-214-634-517","2"
"449","071-754-400-609-576","3"
"450","071-766-956-113-03X","3"
"451","072-009-117-052-692","1"
"452","072-023-336-426-165","2"
"453","072-068-089-948-511","3"
"454","072-076-456-769-698","3"
"455","072-112-091-638-200","2"
"456","072-224-176-896-782","1"
"457","072-243-200-215-136","3"
"458","072-291-495-928-489","2"
"459","072-296-667-465-701","2"
"460","072-374-841-819-407","4"
"461","072-441-462-797-567","3"
"462","072-698-497-216-295","1"
"463","072-745-845-642-67X","1"
"464","072-802-531-827-848","4"
"465","072-817-046-222-302","4"
"466","073-087-462-304-838","1"
"467","073-094-003-713-013","1"
"468","073-170-131-117-322","3"
"469","074-132-780-202-542","1"
"470","074-156-419-052-56X","2"
"471","074-197-517-203-385","1"
"472","074-806-303-734-480","2"
"473","074-841-397-595-509","2"
"474","074-902-318-460-582","1"
"475","075-667-485-324-237","2"
"476","075-850-280-803-221","2"
"477","076-002-662-697-123","4"
"478","076-238-701-408-058","3"
"479","076-255-809-177-452","2"
"480","076-377-649-956-283","2"
"481","076-551-861-300-215","2"
"482","076-655-177-369-941","3"
"483","076-729-975-056-738","4"
"484","076-992-646-369-715","3"
"485","077-354-829-416-449","2"
"486","077-608-833-486-121","3"
"487","077-834-219-997-306","3"
"488","077-977-837-585-833","2"
"489","077-999-868-444-539","4"
"490","078-036-240-424-326","2"
"491","078-152-162-481-023","1"
"492","078-175-531-431-526","2"
"493","078-272-079-532-367","4"
"494","078-318-665-214-047","3"
"495","078-686-633-904-421","4"
"496","078-720-513-189-167","4"
"497","078-927-735-353-813","2"
"498","079-251-925-726-464","3"
"499","079-562-504-772-874","2"
"500","080-086-175-670-914","3"
"501","080-139-567-968-521","4"
"502","080-215-147-088-095","2"
"503","080-615-210-297-301","1"
"504","080-618-639-966-540","3"
"505","080-812-176-152-098","2"
"506","081-068-405-899-608","3"
"507","081-198-292-463-95X","3"
"508","081-296-681-189-981","1"
"509","081-346-750-789-589","4"
"510","081-513-017-845-053","2"
"511","081-820-338-234-026","4"
"512","081-876-742-456-651","3"
"513","082-042-151-776-261","3"
"514","082-091-227-062-603","4"
"515","082-117-114-903-173","4"
"516","082-389-624-773-160","4"
"517","082-502-832-432-143","2"
"518","082-858-046-996-889","3"
"519","083-412-860-749-866","3"
"520","083-528-691-484-522","2"
"521","083-651-591-906-015","2"
"522","083-692-916-137-156","2"
"523","083-810-224-480-214","3"
"524","084-160-886-686-283","3"
"525","084-855-406-110-025","3"
"526","085-627-940-653-689","2"
"527","085-637-817-002-089","3"
"528","085-668-122-415-751","3"
"529","085-961-686-904-115","4"
"530","085-963-779-348-786","2"
"531","086-063-765-305-77X","1"
"532","086-377-939-570-007","1"
"533","087-286-707-662-159","4"
"534","087-588-810-431-870","3"
"535","087-928-364-175-683","3"
"536","088-017-310-971-747","2"
"537","088-594-206-083-168","3"
"538","088-898-421-491-458","1"
"539","088-914-345-904-325","4"
"540","089-112-468-945-778","4"
"541","089-483-582-783-963","1"
"542","090-332-036-959-594","3"
"543","090-787-055-972-525","3"
"544","091-241-664-950-446","2"
"545","091-265-753-392-171","4"
"546","091-415-969-356-605","1"
"547","091-494-753-015-391","1"
"548","091-528-588-052-502","3"
"549","092-043-883-876-185","3"
"550","092-099-830-449-027","2"
"551","092-517-536-020-368","1"
"552","092-525-270-344-68X","2"
"553","092-898-812-757-895","4"
"554","093-299-471-148-654","2"
"555","093-517-933-508-881","2"
"556","093-526-464-667-904","4"
"557","093-807-963-624-926","2"
"558","093-860-530-810-902","2"
"559","094-060-953-943-724","1"
"560","094-416-845-662-41X","3"
"561","094-645-205-628-669","3"
"562","095-156-275-712-769","2"
"563","095-312-534-361-222","2"
"564","095-548-579-063-991","2"
"565","095-605-473-408-283","1"
"566","095-877-317-702-391","4"
"567","096-113-874-823-168","4"
"568","096-156-117-631-329","2"
"569","096-197-889-670-548","1"
"570","096-497-658-401-644","4"
"571","096-775-470-267-946","1"
"572","097-095-789-567-42X","4"
"573","097-691-909-747-128","3"
"574","097-935-960-014-905","3"
"575","097-986-438-425-365","2"
"576","098-063-655-815-248","2"
"577","098-805-113-361-261","1"
"578","099-315-116-844-677","1"
"579","099-545-086-180-93X","4"
"580","099-584-998-034-531","2"
"581","099-596-172-337-331","2"
"582","099-857-638-754-94X","2"
"583","099-921-237-201-045","3"
"584","100-381-410-629-790","1"
"585","100-965-732-025-198","2"
"586","101-150-316-380-050","3"
"587","101-256-219-333-506","3"
"588","101-774-056-400-814","2"
"589","101-888-749-870-953","2"
